team1,team2,toss_winner,venue,pitch_type,weather,total_score,wickets,overs,winner
MI,KKR,KKR,Narendra Modi Stadium,Bowling,Humid,208,7,17.9,MI
SRH,RR,SRH,Chepauk,Bowling,Hot,250,5,6.7,SRH
RCB,DC,DC,Chepauk,Batting,Humid,120,8,11.3,DC
PBKS,RR,PBKS,Chepauk,Balanced,Hot,240,3,15.7,RR
PBKS,CSK,PBKS,Chepauk,Balanced,Humid,186,4,12.1,PBKS
KKR,SRH,SRH,Narendra Modi Stadium,Bowling,Humid,184,3,17.6,KKR
MI,KKR,KKR,Eden Gardens,Batting,Hot,247,6,11.4,KKR
SRH,MI,SRH,Wankhede Stadium,Bowling,Cloudy,232,6,8.9,SRH
RR,CSK,RR,Narendra Modi Stadium,Bowling,Humid,232,0,9.5,CSK
GT,MI,MI,Wankhede Stadium,Balanced,Hot,220,1,17.9,GT
MI,RR,MI,Narendra Modi Stadium,Batting,Hot,140,6,15.7,MI
RCB,DC,DC,Chinnaswamy Stadium,Batting,Humid,122,7,15.3,DC
LSG,KKR,KKR,Chinnaswamy Stadium,Balanced,Cloudy,249,8,6.9,LSG
PBKS,CSK,PBKS,Narendra Modi Stadium,Batting,Humid,125,9,10.9,PBKS
CSK,SRH,CSK,Narendra Modi Stadium,Batting,Hot,203,7,19.1,SRH
MI,KKR,KKR,Narendra Modi Stadium,Batting,Hot,173,5,16.7,KKR
DC,PBKS,PBKS,Narendra Modi Stadium,Batting,Cloudy,223,0,5.4,PBKS
LSG,RR,RR,Wankhede Stadium,Balanced,Cloudy,177,7,13.5,LSG
LSG,KKR,LSG,Eden Gardens,Bowling,Humid,198,4,11.7,KKR
KKR,RCB,RCB,Narendra Modi Stadium,Bowling,Humid,123,7,13.6,RCB
GT,MI,GT,Narendra Modi Stadium,Balanced,Cloudy,244,9,10.4,MI
DC,KKR,DC,Chinnaswamy Stadium,Bowling,Hot,165,9,18.3,KKR
SRH,RR,SRH,Wankhede Stadium,Balanced,Cloudy,241,0,6.2,SRH
PBKS,RR,RR,Chepauk,Batting,Cloudy,161,4,19.4,PBKS
RCB,PBKS,PBKS,Chepauk,Bowling,Humid,222,3,9.5,RCB
CSK,KKR,CSK,Eden Gardens,Bowling,Hot,215,4,8.6,KKR
MI,CSK,MI,Chepauk,Batting,Hot,205,9,15.0,MI
DC,KKR,DC,Chepauk,Batting,Hot,243,1,6.9,DC
CSK,RR,RR,Chinnaswamy Stadium,Batting,Cloudy,189,10,9.8,CSK
RCB,RR,RR,Wankhede Stadium,Batting,Humid,225,9,6.9,RCB
RCB,SRH,RCB,Eden Gardens,Balanced,Humid,225,7,13.5,RCB
SRH,MI,MI,Eden Gardens,Batting,Hot,153,3,13.7,MI
GT,DC,DC,Chepauk,Bowling,Humid,191,4,12.4,GT
DC,SRH,SRH,Chinnaswamy Stadium,Batting,Cloudy,235,8,5.2,DC
CSK,RCB,CSK,Narendra Modi Stadium,Batting,Cloudy,156,5,13.6,CSK
SRH,RCB,RCB,Chinnaswamy Stadium,Balanced,Humid,148,7,19.6,SRH
KKR,SRH,SRH,Eden Gardens,Balanced,Hot,159,3,12.9,SRH
KKR,PBKS,KKR,Wankhede Stadium,Balanced,Cloudy,201,7,14.0,KKR
KKR,RCB,RCB,Wankhede Stadium,Batting,Hot,141,2,15.1,KKR
PBKS,LSG,LSG,Narendra Modi Stadium,Batting,Cloudy,203,5,13.4,LSG
LSG,KKR,KKR,Chepauk,Batting,Cloudy,196,4,15.0,LSG
DC,RCB,DC,Wankhede Stadium,Bowling,Humid,192,10,11.2,DC
PBKS,MI,MI,Chepauk,Balanced,Cloudy,131,3,17.4,PBKS
MI,RR,RR,Wankhede Stadium,Bowling,Humid,234,8,13.8,MI
RCB,CSK,CSK,Chinnaswamy Stadium,Batting,Hot,124,2,8.3,CSK
SRH,GT,SRH,Eden Gardens,Batting,Cloudy,152,10,15.3,GT
CSK,PBKS,PBKS,Eden Gardens,Bowling,Cloudy,143,6,12.5,PBKS
RR,LSG,RR,Chinnaswamy Stadium,Bowling,Hot,187,9,9.4,RR
MI,RCB,MI,Narendra Modi Stadium,Bowling,Hot,238,3,12.3,RCB
RCB,SRH,SRH,Chepauk,Batting,Cloudy,143,8,15.2,RCB
GT,MI,MI,Eden Gardens,Bowling,Humid,210,7,8.8,GT
MI,GT,MI,Chinnaswamy Stadium,Batting,Hot,169,4,13.6,MI
CSK,MI,MI,Chinnaswamy Stadium,Batting,Cloudy,191,6,6.1,CSK
KKR,CSK,CSK,Wankhede Stadium,Balanced,Humid,236,3,12.5,KKR
CSK,LSG,CSK,Wankhede Stadium,Balanced,Hot,197,5,12.5,LSG
PBKS,LSG,PBKS,Eden Gardens,Bowling,Cloudy,120,7,5.0,LSG
SRH,RCB,SRH,Wankhede Stadium,Bowling,Hot,158,4,11.6,SRH
GT,DC,GT,Wankhede Stadium,Batting,Cloudy,153,0,17.4,GT
CSK,RCB,CSK,Narendra Modi Stadium,Balanced,Hot,161,2,5.4,CSK
SRH,RR,SRH,Narendra Modi Stadium,Balanced,Humid,191,2,5.1,RR
SRH,RR,RR,Chinnaswamy Stadium,Balanced,Hot,136,7,7.2,SRH
LSG,RR,RR,Wankhede Stadium,Balanced,Cloudy,246,4,14.8,RR
SRH,PBKS,SRH,Chinnaswamy Stadium,Batting,Hot,246,8,9.1,PBKS
CSK,RCB,RCB,Chepauk,Bowling,Hot,209,5,11.3,CSK
KKR,DC,KKR,Eden Gardens,Batting,Hot,197,1,7.1,KKR
SRH,LSG,LSG,Eden Gardens,Batting,Cloudy,143,8,6.2,LSG
SRH,DC,SRH,Chepauk,Balanced,Cloudy,220,3,10.0,SRH
RR,CSK,CSK,Eden Gardens,Balanced,Hot,137,3,18.7,RR
RR,GT,RR,Eden Gardens,Bowling,Humid,180,9,9.3,GT
DC,MI,MI,Chinnaswamy Stadium,Batting,Cloudy,179,9,13.4,MI
GT,MI,GT,Chinnaswamy Stadium,Batting,Humid,139,0,16.4,MI
RCB,MI,RCB,Wankhede Stadium,Bowling,Cloudy,239,1,14.2,RCB
SRH,KKR,KKR,Chinnaswamy Stadium,Bowling,Hot,166,0,16.4,SRH
MI,DC,MI,Eden Gardens,Balanced,Hot,133,0,10.3,MI
MI,RR,MI,Wankhede Stadium,Balanced,Humid,148,9,14.8,MI
MI,RR,MI,Narendra Modi Stadium,Bowling,Cloudy,121,6,11.0,MI
GT,LSG,LSG,Chepauk,Balanced,Humid,193,7,9.4,LSG
RR,MI,MI,Chinnaswamy Stadium,Bowling,Hot,170,3,14.4,RR
KKR,MI,MI,Wankhede Stadium,Bowling,Cloudy,161,10,12.0,MI
MI,GT,GT,Chepauk,Bowling,Cloudy,229,3,14.2,MI
LSG,SRH,SRH,Eden Gardens,Bowling,Cloudy,233,10,14.0,LSG
LSG,MI,MI,Eden Gardens,Bowling,Cloudy,151,8,16.4,LSG
CSK,RCB,CSK,Eden Gardens,Bowling,Humid,204,0,7.9,RCB
GT,MI,MI,Narendra Modi Stadium,Balanced,Humid,217,8,8.7,MI
CSK,KKR,CSK,Wankhede Stadium,Bowling,Humid,202,8,17.6,KKR
GT,CSK,GT,Chinnaswamy Stadium,Bowling,Cloudy,171,7,17.5,GT
LSG,MI,LSG,Wankhede Stadium,Bowling,Cloudy,137,4,11.0,LSG
SRH,RCB,SRH,Wankhede Stadium,Batting,Hot,241,6,16.2,RCB
KKR,LSG,LSG,Eden Gardens,Batting,Humid,135,0,8.2,KKR
KKR,SRH,SRH,Narendra Modi Stadium,Bowling,Humid,132,3,8.6,SRH
KKR,RR,RR,Narendra Modi Stadium,Balanced,Humid,144,6,15.9,RR
GT,RCB,GT,Wankhede Stadium,Bowling,Hot,205,6,12.1,GT
LSG,RR,RR,Chinnaswamy Stadium,Batting,Humid,240,9,11.9,RR
DC,CSK,DC,Chepauk,Balanced,Cloudy,158,6,17.3,CSK
LSG,SRH,SRH,Eden Gardens,Bowling,Humid,214,4,5.9,LSG
SRH,KKR,SRH,Narendra Modi Stadium,Batting,Hot,126,7,16.7,KKR
SRH,PBKS,SRH,Narendra Modi Stadium,Balanced,Hot,141,9,9.3,PBKS
PBKS,SRH,SRH,Wankhede Stadium,Batting,Humid,195,1,12.4,PBKS
RCB,KKR,RCB,Chepauk,Bowling,Humid,153,7,17.2,RCB
KKR,GT,GT,Chinnaswamy Stadium,Batting,Humid,216,9,19.9,GT
RCB,LSG,RCB,Eden Gardens,Batting,Cloudy,232,7,19.4,LSG
GT,RCB,GT,Eden Gardens,Balanced,Cloudy,196,8,19.7,GT
SRH,MI,MI,Wankhede Stadium,Balanced,Hot,231,2,9.2,MI
PBKS,GT,PBKS,Chepauk,Batting,Cloudy,214,6,9.2,PBKS
DC,CSK,DC,Eden Gardens,Batting,Cloudy,227,9,13.6,DC
CSK,LSG,CSK,Wankhede Stadium,Bowling,Cloudy,176,9,19.1,CSK
PBKS,CSK,PBKS,Eden Gardens,Bowling,Cloudy,162,0,12.4,CSK
LSG,MI,MI,Wankhede Stadium,Batting,Cloudy,124,8,12.5,LSG
SRH,CSK,CSK,Narendra Modi Stadium,Balanced,Humid,152,5,16.7,SRH
DC,RR,RR,Narendra Modi Stadium,Batting,Hot,154,4,14.7,RR
KKR,RCB,RCB,Eden Gardens,Batting,Cloudy,150,10,7.1,KKR
KKR,RR,RR,Narendra Modi Stadium,Balanced,Hot,148,4,5.0,KKR
DC,LSG,DC,Wankhede Stadium,Batting,Hot,209,1,17.0,DC
SRH,RCB,SRH,Narendra Modi Stadium,Balanced,Cloudy,240,10,8.4,RCB
LSG,DC,LSG,Chepauk,Batting,Cloudy,233,6,10.2,DC
LSG,RR,LSG,Wankhede Stadium,Balanced,Cloudy,160,3,17.0,LSG
CSK,RR,CSK,Narendra Modi Stadium,Bowling,Humid,230,2,6.7,CSK
MI,LSG,MI,Eden Gardens,Balanced,Humid,246,10,19.1,LSG
SRH,LSG,SRH,Eden Gardens,Batting,Hot,140,7,16.2,SRH
RCB,MI,RCB,Chinnaswamy Stadium,Bowling,Humid,221,9,18.7,RCB
RR,PBKS,RR,Wankhede Stadium,Balanced,Humid,220,0,8.5,RR
CSK,LSG,LSG,Eden Gardens,Bowling,Cloudy,164,1,16.9,CSK
RCB,KKR,RCB,Wankhede Stadium,Balanced,Cloudy,191,1,5.1,KKR
RR,KKR,RR,Chepauk,Balanced,Hot,250,7,19.8,KKR
KKR,RR,KKR,Chepauk,Balanced,Cloudy,163,4,5.5,KKR
SRH,LSG,LSG,Chinnaswamy Stadium,Balanced,Hot,149,0,5.0,LSG
SRH,PBKS,PBKS,Narendra Modi Stadium,Bowling,Cloudy,167,1,6.1,PBKS
LSG,DC,DC,Wankhede Stadium,Balanced,Hot,241,2,5.5,LSG
KKR,CSK,CSK,Wankhede Stadium,Batting,Humid,247,3,19.2,KKR
KKR,MI,KKR,Eden Gardens,Bowling,Humid,199,8,11.2,KKR
PBKS,DC,DC,Narendra Modi Stadium,Balanced,Cloudy,209,8,13.8,PBKS
RCB,GT,GT,Chepauk,Batting,Cloudy,210,4,6.0,GT
DC,GT,DC,Wankhede Stadium,Bowling,Cloudy,184,6,12.4,GT
RR,CSK,RR,Eden Gardens,Batting,Hot,246,7,7.6,CSK
RCB,PBKS,PBKS,Chinnaswamy Stadium,Bowling,Cloudy,191,10,12.9,PBKS
LSG,RCB,RCB,Chepauk,Bowling,Hot,133,8,7.3,LSG
LSG,PBKS,LSG,Wankhede Stadium,Bowling,Cloudy,203,1,16.9,PBKS
RCB,CSK,RCB,Narendra Modi Stadium,Bowling,Hot,205,6,19.6,RCB
CSK,MI,MI,Narendra Modi Stadium,Balanced,Cloudy,185,1,13.4,CSK
DC,CSK,DC,Chinnaswamy Stadium,Batting,Cloudy,132,5,13.8,CSK
GT,RCB,RCB,Chepauk,Bowling,Humid,222,0,14.0,RCB
DC,PBKS,DC,Eden Gardens,Bowling,Cloudy,172,3,5.6,DC
RCB,CSK,CSK,Narendra Modi Stadium,Bowling,Hot,128,7,10.9,RCB
KKR,GT,KKR,Eden Gardens,Bowling,Cloudy,199,4,10.6,GT
PBKS,LSG,PBKS,Narendra Modi Stadium,Bowling,Hot,161,2,15.7,PBKS
DC,RCB,DC,Chepauk,Balanced,Hot,186,10,12.4,DC
DC,RCB,DC,Chinnaswamy Stadium,Balanced,Cloudy,191,1,17.8,DC
PBKS,DC,PBKS,Wankhede Stadium,Balanced,Humid,149,6,19.9,DC
RR,KKR,RR,Wankhede Stadium,Bowling,Humid,167,3,16.1,RR
RCB,PBKS,RCB,Chinnaswamy Stadium,Balanced,Hot,129,1,8.8,PBKS
RR,MI,RR,Chinnaswamy Stadium,Bowling,Hot,159,8,18.5,RR
DC,KKR,KKR,Chepauk,Batting,Hot,179,10,13.5,KKR
LSG,RR,LSG,Eden Gardens,Bowling,Cloudy,168,5,10.6,LSG
RR,LSG,LSG,Narendra Modi Stadium,Bowling,Cloudy,225,8,17.9,RR
SRH,RCB,RCB,Narendra Modi Stadium,Balanced,Humid,222,0,17.2,RCB
CSK,LSG,LSG,Chinnaswamy Stadium,Bowling,Cloudy,237,0,6.5,LSG
DC,LSG,DC,Narendra Modi Stadium,Batting,Hot,205,10,13.0,LSG
CSK,MI,MI,Chinnaswamy Stadium,Batting,Humid,179,10,9.9,MI
SRH,PBKS,PBKS,Wankhede Stadium,Batting,Humid,192,4,7.0,PBKS
MI,SRH,MI,Chinnaswamy Stadium,Bowling,Humid,121,8,15.0,SRH
CSK,MI,CSK,Chinnaswamy Stadium,Balanced,Hot,236,9,7.4,MI
KKR,DC,DC,Chepauk,Bowling,Humid,174,5,11.9,DC
MI,RCB,MI,Eden Gardens,Batting,Hot,232,6,6.9,MI
MI,KKR,MI,Wankhede Stadium,Bowling,Cloudy,141,1,17.1,MI
LSG,SRH,SRH,Eden Gardens,Bowling,Hot,199,7,17.4,LSG
SRH,CSK,SRH,Chinnaswamy Stadium,Bowling,Cloudy,205,3,16.2,CSK
MI,SRH,MI,Eden Gardens,Batting,Humid,132,4,6.7,SRH
SRH,CSK,CSK,Narendra Modi Stadium,Balanced,Cloudy,222,2,12.3,CSK
GT,PBKS,PBKS,Eden Gardens,Bowling,Humid,236,5,15.6,GT
SRH,RCB,RCB,Chepauk,Balanced,Humid,120,6,15.3,SRH
GT,CSK,GT,Chinnaswamy Stadium,Balanced,Hot,193,10,19.5,GT
RR,CSK,RR,Chepauk,Batting,Cloudy,143,2,11.1,CSK
KKR,RCB,RCB,Chepauk,Batting,Humid,125,10,16.0,RCB
KKR,SRH,SRH,Chepauk,Bowling,Hot,123,1,11.1,SRH
PBKS,SRH,SRH,Wankhede Stadium,Balanced,Humid,230,5,11.2,SRH
PBKS,LSG,LSG,Chepauk,Bowling,Hot,203,10,6.9,LSG
GT,RCB,RCB,Chinnaswamy Stadium,Bowling,Humid,152,2,19.4,GT
KKR,PBKS,KKR,Chepauk,Bowling,Hot,201,3,11.7,KKR
KKR,DC,KKR,Wankhede Stadium,Balanced,Hot,228,3,16.3,DC
GT,LSG,GT,Chinnaswamy Stadium,Batting,Cloudy,187,0,8.9,LSG
GT,SRH,SRH,Wankhede Stadium,Balanced,Cloudy,228,4,15.7,SRH
DC,PBKS,PBKS,Narendra Modi Stadium,Balanced,Humid,163,9,9.6,DC
SRH,DC,SRH,Chinnaswamy Stadium,Balanced,Cloudy,245,10,10.1,DC
LSG,RR,LSG,Wankhede Stadium,Batting,Humid,244,3,18.4,LSG
PBKS,RCB,RCB,Wankhede Stadium,Balanced,Hot,228,1,17.9,RCB
CSK,KKR,CSK,Eden Gardens,Batting,Cloudy,149,4,8.4,KKR
CSK,RCB,RCB,Chinnaswamy Stadium,Batting,Cloudy,131,7,6.5,CSK
PBKS,CSK,PBKS,Wankhede Stadium,Bowling,Humid,195,3,12.6,PBKS
MI,KKR,MI,Narendra Modi Stadium,Batting,Cloudy,245,0,18.9,MI
GT,DC,GT,Eden Gardens,Batting,Cloudy,225,8,7.0,DC
KKR,GT,GT,Eden Gardens,Batting,Humid,191,1,15.7,GT
GT,RR,GT,Wankhede Stadium,Bowling,Humid,190,9,17.6,RR
SRH,DC,DC,Chinnaswamy Stadium,Bowling,Hot,210,8,10.1,DC
MI,DC,MI,Narendra Modi Stadium,Batting,Humid,223,9,15.6,DC
CSK,KKR,CSK,Chepauk,Bowling,Cloudy,141,8,13.3,CSK
DC,MI,DC,Wankhede Stadium,Bowling,Cloudy,204,9,9.3,MI
MI,DC,DC,Chinnaswamy Stadium,Bowling,Hot,243,10,18.4,MI
RR,PBKS,RR,Wankhede Stadium,Bowling,Cloudy,226,7,8.2,RR
MI,KKR,KKR,Narendra Modi Stadium,Balanced,Hot,245,9,19.1,KKR
MI,KKR,MI,Chinnaswamy Stadium,Balanced,Cloudy,166,2,12.9,MI
PBKS,GT,GT,Eden Gardens,Bowling,Hot,141,10,19.2,PBKS
RR,MI,MI,Eden Gardens,Bowling,Hot,150,7,9.0,MI
SRH,RR,RR,Chinnaswamy Stadium,Bowling,Hot,187,0,6.4,SRH
RR,MI,MI,Wankhede Stadium,Batting,Humid,213,4,5.1,MI
RR,PBKS,PBKS,Wankhede Stadium,Batting,Humid,141,7,7.2,PBKS
GT,PBKS,GT,Wankhede Stadium,Bowling,Humid,185,1,9.1,GT
KKR,PBKS,KKR,Chinnaswamy Stadium,Balanced,Cloudy,213,4,7.7,PBKS
RR,CSK,RR,Chinnaswamy Stadium,Balanced,Humid,231,6,18.7,RR
DC,KKR,DC,Wankhede Stadium,Batting,Humid,200,0,16.4,DC
KKR,MI,MI,Narendra Modi Stadium,Bowling,Humid,183,10,9.0,KKR
RCB,RR,RCB,Eden Gardens,Balanced,Hot,127,7,11.4,RCB
KKR,GT,KKR,Narendra Modi Stadium,Bowling,Hot,162,6,8.5,KKR
PBKS,MI,PBKS,Eden Gardens,Bowling,Cloudy,166,3,14.8,MI
SRH,DC,SRH,Eden Gardens,Batting,Cloudy,189,10,8.7,DC
SRH,RR,RR,Chepauk,Batting,Hot,183,1,7.4,RR
RR,GT,RR,Chinnaswamy Stadium,Batting,Humid,220,9,6.5,RR
